,Datetime,Tweet Id,Text
24,2021-09-25 04:34:15+00:00,1441622052276944896,"Hey @UPS_Canada @UPS , thanks for delaying my delivery. Oh by the way, I live in London, ON, not Windsor… not a great launch day experience, @Apple #iPhone13 #iPhone13Pro https://t.co/VrsYYUK5OD"
25,2021-09-24 12:55:44+00:00,1441385864874057728,"Today at @Apple 's London Flagship Store - the iPhone 13 series was released. Customers were seen visiting the store early in the morning.

#PhotoJournalist #iPhone13 #iPhone #London #AppleEvent https://t.co/LP3iJrFfH4"
26,2021-09-24 09:05:40+00:00,1441327967406149647,"Apple customers queue for launch of #iPhone13

Punters queued outside the #AppleStore on an overcast Regent Street in #London. https://t.co/1CXJh39bi8"
27,2021-09-23 07:20:09+00:00,1440939026165469184,"#Watch if u haven't ⬇️🎬

#HipHopMusic #RAP #Rapper #Dance #GOAT #Legend #Gorgeous #GOLD #FIFA22 #F1 #Bitcoin #NFTs #Amazon #Expo2020 #HalaMadrid #NUFC #Survivor41 #Crypto #Covid19 #News #gaming #Disney #Radio #Netflix #Apple #iPhone13 #bnb #Memes #cnn #BBC #America #London #Art https://t.co/pQZAguSewo"
28,2021-09-21 20:25:10+00:00,1440411804413300740,"What #language would you like to learn? 🇲🇨🇧🇷🇧🇦🇺🇸🇸🇦🇩🇪🇪🇸🇹🇷🇦🇱🇵🇰
🇲🇨🇧🇷🇧🇦🇺🇸🇸🇦🇩🇪🇪🇸🇹🇷🇦🇱🇵🇰🇲🇨🇧🇷🇧🇦🇵🇰🇦🇱🇹🇷🇪🇸🇩🇪🇸🇦🇺🇸
#poll #English #Turkish #iPhone13
#Juventus #YouTube #Kosovo #Xbox #USA #news #NewProfilePic #BREAKING #London #like"
29,2021-09-18 07:04:28+00:00,1439123140274176005,"IPhone 13 b agya, lekin wo nhi aya  abhi tak jo dawai leny London gya ha. #iPhone13"
30,2021-09-17 14:17:31+00:00,1438869732246044673,"Discussing #iPhone13 on The London @EveningStandard's 'Tech And Science Daily' Podcast'
 
https://t.co/gREtrN9QGT"
31,2021-09-16 10:20:39+00:00,1438447732226760706,"Inspired by the Apple event!😂😂😂⁠
Exactly why you need us. 😇⁠
⁠
#unitedkingdom #england #london⁠ #rentals  #movingday #longdistancemove #relocationspecialist #londoner #thisislondon #londoncity #explorelondon#studentlife #apple #appleevent #iPhone13 #iPhone12 https://t.co/qiQNTLVrAk"
32,2021-09-16 09:55:38+00:00,1438441437499101188,"Inspired by the Apple event!😂😂😂
Exactly why you need us. 😇
⁠
#unitedkingdom #england #london⁠ #rentals #furnished #virtualshowing #londonlandmarks #londoner #thisislondon #londoncity #explorelondon#studentlife #apple #appleevent #iPhone13 #iPhone12 https://t.co/QkuE6VPFTE"
33,2021-09-15 08:09:27+00:00,1438052328851087368,"Broken iPhone? We can help!

We are an Apple Independent Repair Provider, which means we provide Apple quality iPhone repairs using Apple sourced parts so you know your phone is in safe hands.

https://t.co/G771wgRJ3o
#Apple #AppleEvent #iPhone #iPhone13 #Repairs #London"
34,2021-09-08 10:30:56+00:00,1435551219913658369,10 mn UK customers plan to buy 'iPhone 13': Report #iPhone13 #Customers #London https://t.co/rx12NC8d7U
35,2021-08-30 15:10:11+00:00,1432360005437644805,#iPhone13 Release Date Expected To Be On Sept 14 https://t.co/INDyF68184 #technology #iphone13series #USA #uk #Ukraine #Canada #Japan #Australia #LUNA #London #XRP #XiXianXGulfNiceScent #HurricaneIda #Texans
36,2021-04-27 15:01:25+00:00,1387059312967651337,🥳 30% OFF phonecases Get It Now👉https://t.co/NB2nIVZjLf  #netherland #southpolland #pensylvania #tennesseewhiskey #northcarolina #gamedev #Germany #frogcore #London #funniesttweets #NewZealand #MothersDay #Staffordshire #goblincore #MothersDay #iPhone12 #iphone13 https://t.co/pTPaXPkkXn
37,2021-02-24 10:02:50+00:00,1364516127687213060,"🏠FOR SALE🏠
•••••••••••••••••••••
This lovely 4 BEDROOM TERRACE DUPLEX WITH A ROOM BQ.

PRICE: N85million

LOCATION: Osapa-London, Lekki.

TITLE: Governor's Consent #buhari #Lagosandabuja #osinbajothepacesetter #OrluAirAttack #iphone13 https://t.co/KkwhUDyHIF"
38,2021-02-23 11:40:35+00:00,1364178337862664192,"🏠FOR SALE🏠
•••••••••••••••••••••
This lovely 5 BEDROOM FULLY DETACHED DUPLEX WITH A ROOM BQ.
PRICE: N100million
LOCATION: Osapa London, Lekki.
LAND SIZE: 350sqm
TITLE: Governor's Consent. #NASAPerseverance #oloshofortacha #iphone13 #FuelPriceHike #5G #home https://t.co/JpNCpHs7r0"
39,2021-02-23 10:52:57+00:00,1364166349967290369,"His Imperial Majesty, the Ooni of Ife, Oba Adeyeye Enitan Ogunwusi and Princess Ronke Ademiluyi, founder of Africa Fashion Week London are set to launch an Adire textile factory in Ile-Ife.
#WhatsApp #iphone13 #ooni
https://t.co/Hvn4u6UUTb"
40,2021-02-23 10:24:32+00:00,1364159198951538688,"Apple wan release iPhone 13 ,when I no even use any iPhone.  This life sha @Jullykellyayla #iPhone #iphone13 #London #Apple #iPhone #iphone13 #investing #iPhone12ProMax #iPhone #iphone13 #London #Apple"
